method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Feedforward,0.12566370614359174,0.10381700238669958,0.014908514272424664,0.003533939331557216,9.523737211581501e-08
Feedforward,0.15707963267948966,0.12966585921316487,0.024995883832516903,0.003550430864795523,1.0529243838054626e-07
Feedforward,0.1884955592153876,0.18561919252845901,0.04851206692729739,0.0035681571368917355,1.344257080393018e-07
Feedforward,0.21991148575128552,0.22201288547594789,0.07210195269890286,0.003594859028542849,1.8809236319655853e-07
Feedforward,0.25132741228718347,0.29059666686876684,0.12139124937773901,0.0036239950782205534,2.757528813632495e-07
Feedforward,0.2827433388230814,0.33288292332107977,0.16611747927231166,0.0036595817280425298,3.990331114892725e-07
Feedforward,0.3141592653589793,0.4109647522261684,0.2524979909063105,0.0036994546853882774,5.697295814391575e-07
Feedforward,0.3455751918948773,0.45470704838435966,0.3231247295254941,0.003742963750180011,7.849744134670233e-07
Feedforward,0.3769911184307752,0.543772364142321,0.46059633992144233,0.003793116341772292,1.059874506838482e-06
Feedforward,0.40840704496667324,0.5968594773767671,0.5782899844496026,0.003843970804222153,1.3866948456873158e-06
Feedforward,0.43982297150257105,0.7044196145443972,0.800140272989896,0.003904614978441961,1.7870100790201666e-06
Feedforward,0.47123889803846897,0.7583801055408959,0.9651341923941554,0.003963034022090937,2.2464760066554163e-06
Feedforward,0.5026548245743669,0.8735494443168195,1.2672635759316093,0.004035050147268578,2.7945055172150126e-06
Feedforward,0.5340707511102649,0.9322632214678672,1.4888740788846386,0.004101882000902636,3.4092346337430745e-06
Feedforward,0.5654866776461628,1.0683968503416674,1.9376972644902843,0.004186767756930717,4.129783204719669e-06
Feedforward,0.5969026041820608,1.1435118143031784,2.2808379441768283,0.00426345010221403,4.9269103032933885e-06
Feedforward,0.6283185307179586,1.3082518437858182,2.9357628842726955,0.004363204799855066,5.849637104223968e-06
Feedforward,0.6597344572538567,1.3970984718137813,3.423056721520995,0.004451567796524987,6.8618544493639605e-06
Feedforward,0.6911503837897546,1.5805160944611187,4.321110031221446,0.0045684848619375875,8.022189867990252e-06
Feedforward,0.7225663103256524,1.6791660591845834,4.988175604386421,0.004670572383735624,9.288082749660165e-06
Feedforward,0.7539822368615504,1.8879934800784566,6.202964457351684,0.004806998171515649,1.0724357163712813e-05
Feedforward,0.7853981633974484,2.0003978173901893,7.103430949964866,0.004924842021396458,1.2283820872089338e-05
Feedforward,0.8168140899333465,2.231794339241599,8.713722714155173,0.005083053446930513,1.4034764277698462e-05
Feedforward,0.8482300164692442,2.3558522535069035,9.904847064282187,0.005218459623772779,1.5921165284946844e-05
Feedforward,0.8796459430051421,2.6132929730976713,12.007471894358588,0.005400243605730826,1.80113137140277e-05
